...1,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,Mass Error (ppm),Mass Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C
0,14,207.0299516,207.0299516,207.0298968235,1498006,628793,10.1,-1,-0.26458240720000004,0.6777950799,0.5,0.6244565559,7,0.8,0.5,O5,de-protonated,0,NA,C10 H8 O5,10,8,5,NA
1,15,209.0086762,209.0086762,209.0091613786,1442318,540864,9.6,-1,2.3213270749,0,0.5,0.15,7,0.6666666667000001,0.6666666667000001,O6,de-protonated,0,NA,C9 H6 O6,9,6,6,NA
2,16,213.0770177,213.0770177,213.076847017,1706473,586934,11.8,-1,-0.8010397979,0.0283025263,0.5,0.1698117684,4,1.4,0.5,O5,de-protonated,0,NA,C10 H14 O5,10,14,5,NA
3,17,215.0562421,215.0562421,215.0561115721,1417294,475925,9.4,-1,-0.6069482976,0.1291746132,0.5,0.2404222292,4,1.3333333333,0.6666666667000001,O6,de-protonated,0,NA,C9 H12 O6,9,12,6,NA
4,18,223.0242561,223.0242561,223.0248114431,1399321,549243,9.2,-1,2.4900507691,0,0.5,0.15,7,0.8,0.6000000000000001,O6,de-protonated,0,NA,C10 H8 O6,10,8,6,NA
5,19,225.0041822,225.0041822,225.0040759982,1447853,613954,9.6,-1,-0.4719994632,0.29005460710000003,0.5,0.35303822500000004,7,0.6666666667000001,0.7777777778,O7,de-protonated,0,NA,C9 H6 O7,9,6,7,NA
6,20,227.055713,227.055713,227.0561115721,1311581,603971,8.4,-1,1.7553901389000002,3.68e-8,0.5,0.1500000257,5,1.2,0.6000000000000001,O6,de-protonated,0,NA,C10 H12 O6,10,12,6,NA
7,21,229.0712263,229.0712263,229.0717616365,1633828,421601,11.1,-1,2.3369817971,0,0.5,0.15,4,1.4,0.6000000000000001,O6,de-protonated,0,NA,C10 H14 O6,10,14,6,NA
8,22,235.0242183,235.0242183,235.0248114431,1354030,511845,8.7,-1,2.5237467464,4.2903769629999996e-16,0.5,0.15,8,0.7272727273,0.5454545455,O6,de-protonated,0,NA,C11 H8 O6,11,8,6,NA
9,23,241.0714051,241.0714051,241.0717616365,1707110,534969,11.6,-1,1.4789643333,5.2785e-6,0.5,0.15000369500000002,5,1.2727272727,0.5454545455,O6,de-protonated,0,NA,C11 H14 O6,11,14,6,NA
10,24,243.0505902,243.0505902,243.0510261916,1385981,434598,8.9,-1,1.7938275668,1.7200000000000002e-8,0.5,0.1500000121,5,1.2,0.7000000000000001,O7,de-protonated,0,NA,C10 H12 O7,10,12,7,NA
11,25,249.040291,249.040291,249.0404615076,1454929,565365,9.5,-1,0.6846581482,0.0739619629,0.5,0.201773374,8,0.8333333333,0.5,O6,de-protonated,0,NA,C12 H10 O6,12,10,6,NA
12,26,253.0717131,253.0717131,253.0717616365,1483456,341189,9.6,-1,0.1917896208,0.8151758379,0.5,0.7206230865000001,6,1.1666666667,0.5,O6,de-protonated,0,NA,C12 H14 O6,12,14,6,NA
13,27,253.1074648,253.1074648,253.1081471459,1853257,480588,12.7,-1,2.6958670798,2.916617007e-18,0.5,0.15,5,1.3846153846,0.3846153846,O5,de-protonated,0,NA,C13 H18 O5,13,18,5,NA
14,28,253.1081127,253.1081127,253.1081471459,1448009,388195,9.3,-1,0.1360917138,0.9022224307,0.5,0.7815557015,5,1.3846153846,0.3846153846,O5,de-protonated,0,NA,C13 H18 O5,13,18,5,NA
15,29,255.0506431,255.0506431,255.0510261916,1626178,395058,10.8,-1,1.5020195632,3.6032e-6,0.5,0.1500025223,6,1.0909090909,0.6363636364,O7,de-protonated,0,NA,C11 H12 O7,11,12,7,NA
16,30,255.0872774,255.0872774,255.087411701,2758475,323838,20,-1,0.5264901717,0.2143907478,0.5,0.3000735234,5,1.3333333333,0.5,O6,de-protonated,0,NA,C12 H16 O6,12,16,6,NA
17,31,255.1596806,255.1596806,255.1601827198,2593630,398708,18.7,-1,1.9678610451,5e-10,0.5,0.15000000030000002,3,1.7142857143,0.2857142857,O4,de-protonated,0,NA,C14 H24 O4,14,24,4,NA
18,32,255.1602975,255.1602975,255.1601827198,2439519,392595,17.4,-1,-0.4498359226,0.32491886880000004,0.5,0.3774432081,3,1.7142857143,0.2857142857,O4,de-protonated,0,NA,C14 H24 O4,14,24,4,NA
19,33,255.2329217,255.2329217,255.2329537386,10857329,287978,86.2,-1,0.125526708,0.9161834736,0.9161535379,0.8076427876000001,1,2,0.125,O2,de-protonated,0,NA,C16 H32 O2,16,32,2,NA
20,36,257.0667337,257.0667337,257.0666762561,2338648,433526,16.6,-1,-0.2234591115,0.7577430238,0.5,0.6804201166,5,1.2727272727,0.6363636364,O7,de-protonated,0,NA,C11 H14 O7,11,14,7,NA
21,37,257.1026611,257.1026611,257.1030617655,1562977,260486,10.2,-1,1.55838476,1.3819e-6,0.5,0.15000096740000002,4,1.5,0.5,O6,de-protonated,0,NA,C12 H18 O6,12,18,6,NA
22,38,261.0401626,261.0401626,261.0404615076,1478025,374689,9.5,-1,1.1450622614,6.862529e-4,0.5,0.150480377,9,0.7692307692,0.4615384615,O6,de-protonated,0,NA,C13 H10 O6,13,10,6,NA
23,39,263.0194144,263.0194144,263.0197260627,1848487,464198,12.5,-1,1.184940307,4.095449e-4,0.5,0.1502866814,9,0.6666666667000001,0.5833333333,O7,de-protonated,0,NA,C12 H8 O7,12,8,7,NA
24,40,263.0562288,263.0562288,263.0561115721,2009265,453213,13.8,-1,-0.4456385375,0.3317749613,0.5,0.3822424729,8,0.9230769231,0.4615384615,O6,de-protonated,0,NA,C13 H12 O6,13,12,6,NA
25,41,263.0925776,263.0925776,263.0924970814,1830075,416808,12.3,-1,-0.30604657090000004,0.5943075379,0.5,0.5660152765,7,1.1428571429,0.3571428571,O5,de-protonated,0,NA,C14 H16 O5,14,16,5,NA
26,42,263.1289596,263.1289596,263.1288825908,1361861,471993,8.5,-1,-0.29266711970000003,0.6213530785,0.5,0.584947155,6,1.3333333333,0.2666666667,O4,de-protonated,0,NA,C15 H20 O4,15,20,4,NA
27,43,264.9991134,264.9991134,264.9989906178,1530821,449286,9.9,-1,-0.46333094,0.30341857240000003,0.5,0.3623930007,9,0.5454545455,0.7272727273,O8,de-protonated,0,NA,C11 H6 O8,11,6,8,NA
28,44,265.0354496,265.0354496,265.0353761272,1865167,300485,12.6,-1,-0.2772190194,0.6524984066,0.5,0.6067488846,8,0.8333333333,0.5833333333,O7,de-protonated,0,NA,C12 H10 O7,12,10,7,NA
29,45,265.0717603,265.0717603,265.0717616365,2725849,431115,19.6,-1,0.0050421712,0.9998587684,0.5,0.8499011379,7,1.0769230769,0.4615384615,O6,de-protonated,0,NA,C13 H14 O6,13,14,6,NA
30,46,265.1081396,265.1081396,265.1081471459,2576611,287473,18.4,-1,0.0284635594,0.9955091463,0.5,0.8468564024,6,1.2857142857,0.3571428571,O5,de-protonated,0,NA,C14 H18 O5,14,18,5,NA
31,48,267.0147379,267.0147379,267.0146406822,1967341,419090,13.4,-1,-0.3640914714,0.478806425,0.5,0.4851644975,8,0.7272727273,0.7272727273,O8,de-protonated,0,NA,C11 H8 O8,11,8,8,NA
32,49,267.0510003,267.0510003,267.0510261916,1889015,315160,12.8,-1,0.0969538716,0.9491176477,0.5,0.8143823534,7,1,0.5833333333,O7,de-protonated,0,NA,C12 H12 O7,12,12,7,NA
33,50,267.0874424,267.0874424,267.087411701,4730881,389359,35.9,-1,-0.1149398416,0.9292333633,0.5,0.8004633543,6,1.2307692308,0.4615384615,O6,de-protonated,0,NA,C13 H16 O6,13,16,6,NA
34,51,267.1238078,267.1238078,267.1237972104,2768395,416350,20,-1,-0.0396430444,0.9913070542,0.5,0.8439149380000001,5,1.4285714286,0.3571428571,O5,de-protonated,0,NA,C14 H20 O5,14,20,5,NA
35,53,268.9937727,268.9937727,268.9939052373,1552136,506080,10,-1,0.4927150307,0.25957446160000003,0.5,0.3317021231,8,0.6000000000000001,0.9,O9,de-protonated,0,NA,C10 H6 O9,10,6,9,NA
36,54,269.030338,269.030338,269.0302907467,1769490,428680,11.8,-1,-0.1756429555,0.8424917772,0.5,0.739744244,7,0.9090909091,0.7272727273,O8,de-protonated,0,NA,C11 H10 O8,11,10,8,NA
37,55,269.0667397,269.0667397,269.0666762561,3379228,372401,24.8,-1,-0.235792451,0.7342701827,0.5,0.6639891279,6,1.1666666667,0.5833333333,O7,de-protonated,0,NA,C12 H14 O7,12,14,7,NA
38,56,269.1030891,269.1030891,269.1030617655,5164582,399341,39.2,-1,-0.1015763502,0.9442910349,0,0.3305018622,5,1.3846153846,0.4615384615,O6,de-protonated,0,NA,C13 H18 O6,13,18,6,NA
39,57,271.046024,271.046024,271.0459408112,2498610,454914,17.7,-1,-0.3069177027,0.5925471282,0.5,0.5647829897000001,6,1.0909090909,0.7272727273,O8,de-protonated,0,NA,C11 H12 O8,11,12,8,NA
40,58,271.0823417,271.0823417,271.0823263206,4539964,316682,34.2,-1,-0.0567333669,0.9822773985,0.5,0.8375941790000001,5,1.3333333333,0.5833333333,O7,de-protonated,0,NA,C12 H16 O7,12,16,7,NA
41,59,271.1186747,271.1186747,271.11871183,2326086,435531,16.3,-1,0.1369509723,0.9010472288,0.5,0.7807330602,4,1.5384615385,0.4615384615,O6,de-protonated,0,NA,C13 H20 O6,13,20,6,NA
42,60,273.0616911,273.0616911,273.0615908757,2121290,318564,14.6,-1,-0.3670392424,0.4731076849,0.5,0.4811753794,5,1.2727272727,0.7272727273,O8,de-protonated,0,NA,C11 H14 O8,11,14,8,NA
43,61,273.0769663,273.0769663,273.076847017,1337678,404526,8.3,-1,-0.4368112342,0.3464480069,0.5,0.3925136048,9,0.9333333333,0.33333333330000003,O5,de-protonated,0,NA,C15 H14 O5,15,14,5,NA
