...1,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,Mass Error (ppm),Mass Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C
44,62,273.0980599,273.0980599,273.0979763851,1594708,349051,10.3,-1,-0.30580576330000003,0.5947942065,0.5,0.5663559446,4,1.5,0.5833333333,O7,de-protonated,0,NA,C12 H18 O7,12,18,7,NA
45,63,275.0560746,275.0560746,275.0561115721,1730899,397771,11.4,-1,0.13441642480000002,0.9044967844,0.5,0.7831477491000001,9,0.8571428571,0.4285714286,O6,de-protonated,0,NA,C14 H12 O6,14,12,6,NA
46,64,275.0925082,275.0925082,275.0924970814,1396829,573118,8.7,-1,-0.0404175201,0.9909656355,0.5,0.8436759449000001,8,1.0666666667,0.33333333330000003,O5,de-protonated,0,NA,C15 H16 O5,15,16,5,NA
47,65,277.0354716,277.0354716,277.0353761272,2702925,415696,19.2,-1,-0.3446233056,0.5169512034,0.5,0.5118658424,9,0.7692307692,0.5384615385,O7,de-protonated,0,NA,C13 H10 O7,13,10,7,NA
48,66,277.0718207,277.0718207,277.0717616365,2852950,390794,20.4,-1,-0.213170272,0.7768926186,0.5,0.6938248330000001,8,1,0.4285714286,O6,de-protonated,0,NA,C14 H14 O6,14,14,6,NA
49,67,277.1081823,277.1081823,277.1081471459,3581023,396877,26.3,-1,-0.1268605016,0.9144716466,0.5,0.7901301526000001,7,1.2,0.33333333330000003,O5,de-protonated,0,NA,C15 H18 O5,15,18,5,NA
50,69,279.0147132,279.0147132,279.0146406822,2571321,413808,18.1,-1,-0.2599066243,0.6870928439,0.5,0.6309649908,9,0.6666666667000001,0.6666666667000001,O8,de-protonated,0,NA,C12 H8 O8,12,8,8,NA
51,70,279.0510931,279.0510931,279.0510261916,3094081,413858,22.3,-1,-0.2397710916,0.7265922186,0.5,0.658614553,8,0.9230769231,0.5384615385,O7,de-protonated,0,NA,C13 H12 O7,13,12,7,NA
52,71,279.087504,279.087504,279.087411701,5095498,378104,38.4,-1,-0.33071711930000003,0.5446388881,0,0.1906236108,7,1.1428571429,0.4285714286,O6,de-protonated,0,NA,C14 H16 O6,14,16,6,NA
53,72,279.1238392,279.1238392,279.1237972104,4825171,381190,36.3,-1,-0.1504336104,0.8818584455,0,0.3086504559,6,1.3333333333,0.33333333330000003,O5,de-protonated,0,NA,C15 H20 O5,15,20,5,NA
54,74,280.9938431,280.9938431,280.9939052373,1382676,393686,8.6,-1,0.2211341208,0.7621069872,0.5,0.6834748911,9,0.5454545455,0.8181818182,O9,de-protonated,0,NA,C11 H6 O9,11,6,9,NA
55,75,281.0303563,281.0303563,281.0302907467,3343901,366790,24.2,-1,-0.233260533,0.739130766,0.5,0.6673915362,8,0.8333333333,0.6666666667000001,O8,de-protonated,0,NA,C12 H10 O8,12,10,8,NA
56,76,281.0656316,281.0656316,281.0666762561,1770533,506485,11.6,-1,3.7167554788,4.673655624e-34,0.5,0.15,7,1.0769230769,0.5384615385,O7,de-protonated,0,NA,C13 H14 O7,13,14,7,NA
57,77,281.0666993,281.0666993,281.0666762561,5452326,357721,41,-1,-0.0819872759,0.963344723,0,0.3371706531,7,1.0769230769,0.5384615385,O7,de-protonated,0,NA,C13 H14 O7,13,14,7,NA
58,78,281.1030986,281.1030986,281.1030617655,8857134,349464,68.2,-1,-0.1310355946,0.9090177066,0.7442299676,0.7683144275,6,1.2857142857,0.4285714286,O6,de-protonated,0,NA,C14 H18 O6,14,18,6,NA
59,79,281.1395101,281.1395101,281.1394472749,3115575,365230,22.3,-1,-0.2234660529,0.7577299643000001,0.5,0.680410975,5,1.4666666667,0.33333333330000003,O5,de-protonated,0,NA,C15 H22 O5,15,22,5,NA
60,80,281.2486491,281.2486491,281.248603803,4089424,380015,30.1,-1,-0.16105669150000002,0.8657951132,0,0.3030282896,2,1.8888888889,0.1111111111,O2,de-protonated,0,NA,C18 H34 O2,18,34,2,NA
61,82,283.0095807,283.0095807,283.0095553018,2367719,346009,16.4,-1,-0.08974319500000001,0.9562426679,0.5,0.8193698675000001,8,0.7272727273,0.8181818182,O9,de-protonated,0,NA,C11 H8 O9,11,8,9,NA
62,83,283.0460813,283.0460813,283.0459408112,3325935,384963,24,-1,-0.4963462718,0.2544465299,0.5,0.3281125709,7,1,0.6666666667000001,O8,de-protonated,0,NA,C12 H12 O8,12,12,8,NA
63,84,283.0823504,283.0823504,283.0823263206,10909687,364968,84.5,-1,-0.0850615205,0.9606001702,0,0.3362100596,6,1.2307692308,0.5384615385,O7,de-protonated,0,NA,C13 H16 O7,13,16,7,NA
64,85,283.118709,283.118709,283.11871183,7321599,339824,55.9,-1,0.0099957053,0.9994450756,0,0.3498057764,5,1.4285714286,0.4285714286,O6,de-protonated,0,NA,C14 H20 O6,14,20,6,NA
65,86,283.264279,283.264279,283.2642538675,31569952,357633,249.4,-1,-0.0887245435,0.957208942,0.9945052624,0.9575389315,1,2,0.1111111111,O2,de-protonated,0,NA,C18 H36 O2,18,36,2,NA
66,88,285.0252226,285.0252226,285.0252053663,1980068,350973,13.3,-1,-0.0604637884,0.9798944793,0.5,0.8359261355000001,7,0.9090909091,0.8181818182,O9,de-protonated,0,NA,C11 H10 O9,11,10,9,NA
67,89,285.061656,285.061656,285.0615908757,6229420,353279,47.2,-1,-0.2284570126,0.7482943027000001,0,0.2619030059,6,1.1666666667,0.6666666667000001,O8,de-protonated,0,NA,C12 H14 O8,12,14,8,NA
68,90,285.0970404,285.0970404,285.0979763851,2535859,401309,17.7,-1,3.2830294932,9.87937684e-27,0.5,0.15,5,1.3846153846,0.5384615385,O7,de-protonated,0,NA,C13 H18 O7,13,18,7,NA
69,91,285.0980415,285.0980415,285.0979763851,8788403,358479,67.6,-1,-0.2283949397,0.7484122021,0,0.26194427070000004,5,1.3846153846,0.5384615385,O7,de-protonated,0,NA,C13 H18 O7,13,18,7,NA
70,92,285.1342845,285.1342845,285.1343618944,1925307,376802,12.8,-1,0.2714315056,0.6641110489000001,0.5,0.6148777342,4,1.5714285714,0.4285714286,O6,de-protonated,0,NA,C14 H22 O6,14,22,6,NA
71,93,287.0408664,287.0408664,287.0408554308,1976138,393235,13.2,-1,-0.0382148585,0.9919196264,0.5,0.8443437385,6,1.0909090909,0.8181818182,O9,de-protonated,0,NA,C11 H12 O9,11,12,9,NA
72,94,287.0562472,287.0562472,287.0561115721,1837902,406005,12.1,-1,-0.4724788478,0.2893259264,0.5,0.3525281485,10,0.8,0.4,O6,de-protonated,0,NA,C15 H12 O6,15,12,6,NA
73,95,287.0772278,287.0772278,287.0772409402,4815698,310066,35.9,-1,0.0457722058,0.9884280603,0.5,0.8418996422,5,1.3333333333,0.6666666667000001,O8,de-protonated,0,NA,C12 H16 O8,12,16,8,NA
74,96,287.1137121,287.1137121,287.1136264495,2285913,391778,15.7,-1,-0.2983155422,0.6099362082,0.5,0.5769553457000001,4,1.5384615385,0.5384615385,O7,de-protonated,0,NA,C13 H20 O7,13,20,7,NA
75,97,289.0354427,289.0354427,289.0353761272,2129879,299228,14.3,-1,-0.2303276781,0.7447349581,0.5,0.6713144706,10,0.7142857143,0.5,O7,de-protonated,0,NA,C14 H10 O7,14,10,7,NA
76,98,289.0718074,289.0718074,289.0717616365,2783454,377682,19.5,-1,-0.1583117718,0.8700220162000001,0.5,0.7590154114000001,9,0.9333333333,0.4,O6,de-protonated,0,NA,C15 H14 O6,15,14,6,NA
77,99,289.1081821,289.1081821,289.1081471459,2291941,360819,15.6,-1,-0.1209031254,0.9220012511,0.5,0.7954008758000001,8,1.125,0.3125,O5,de-protonated,0,NA,C16 H18 O5,16,18,5,NA
78,100,291.0148112,291.0148112,291.0146406822,1989197,437345,13.2,-1,-0.5859421815,0.1484689978,0.5,0.2539282985,10,0.6153846154,0.6153846154,O8,de-protonated,0,NA,C13 H8 O8,13,8,8,NA
79,101,291.0511423,291.0511423,291.0510261916,3576916,373573,25.8,-1,-0.3989278808,0.4130732668,0.5,0.4391512868,9,0.8571428571,0.5,O7,de-protonated,0,NA,C14 H12 O7,14,12,7,NA
80,102,291.0874577,291.0874577,291.087411701,5054043,344771,37.5,-1,-0.1580246448,0.8704611437,0,0.3046614003,8,1.0666666667,0.4,O6,de-protonated,0,NA,C15 H16 O6,15,16,6,NA
81,103,291.1238741,291.1238741,291.1237972104,2740321,403519,19.2,-1,-0.2641130725,0.678730084,0.5,0.6251110588000001,7,1.25,0.3125,O5,de-protonated,0,NA,C16 H20 O5,16,20,5,NA
82,105,293.0303125,293.0303125,293.0302907467,3134905,354614,22.3,-1,-0.07423558620000001,0.9698476955,0.5,0.8288933869,9,0.7692307692,0.6153846154,O8,de-protonated,0,NA,C13 H10 O8,13,10,8,NA
83,106,293.0667699,293.0667699,293.0666762561,5714879,350052,42.7,-1,-0.3195310099,0.5670983177,0,0.1984844112,8,1,0.5,O7,de-protonated,0,NA,C14 H14 O7,14,14,7,NA
84,107,293.1031031,293.1031031,293.1030617655,8604613,320940,65.6,-1,-0.1410237977,0.8953977141,0.9135606849,0.8826389279,7,1.2,0.4,O6,de-protonated,0,NA,C15 H18 O6,15,18,6,NA
85,108,293.1393994,293.1393994,293.1394472749,2915276,381420,20.5,-1,0.1633177585,0.862274501,0.5,0.7535921507000001,6,1.375,0.3125,O5,de-protonated,0,NA,C16 H22 O5,16,22,5,NA
86,109,293.1758688,293.1758688,293.1758327843,27127762,316949,212.2,-1,-0.1228468863,0.9195775723,0.8939982056,0.9072049225,5,1.5294117647,0.2352941176,O4,de-protonated,0,NA,C17 H26 O4,17,26,4,NA
87,113,295.0095595,295.0095595,295.0095553018,2317070,315529,15.8,-1,-0.0142306636,0.9988755672,0.5,0.849212897,9,0.6666666667000001,0.75,O9,de-protonated,0,NA,C12 H8 O9,12,8,9,NA
88,114,295.0460219,295.0460219,295.0459408112,4576532,349644,33.7,-1,-0.2748344789,0.6572878147,0.5,0.6101014703000001,8,0.9230769231,0.6153846154,O8,de-protonated,0,NA,C13 H12 O8,13,12,8,NA
89,115,295.0823805,295.0823805,295.0823263206,9415962,286893,72,-1,-0.1836077876,0.8292049846,0.8464643735,0.8620698227,7,1.1428571429,0.5,O7,de-protonated,0,NA,C14 H16 O7,14,16,7,NA
90,116,295.1187435,295.1187435,295.11871183,12591392,335568,97.1,-1,-0.1073128458,0.9380256,0.7701308348,0.9090972071,6,1.3333333333,0.4,O6,de-protonated,0,NA,C15 H20 O6,15,20,6,NA
91,117,295.1551622,295.1551622,295.1550973394,1769510,391494,11.5,-1,-0.2197510568,0.7646930975,0.5,0.6852851683000001,5,1.5,0.3125,O5,de-protonated,0,NA,C16 H24 O5,16,24,5,NA
92,120,297.0252336,297.0252336,297.0252053663,3138139,374799,22.1,-1,-0.0950549086,0.9510421794,0.5,0.8157295256,8,0.8333333333,0.75,O9,de-protonated,0,NA,C12 H10 O9,12,10,9,NA
93,121,297.0616153,297.0616153,297.0615908757,8424032,340438,63.6,-1,-0.0822197152,0.9631404719,0,0.3370991652,7,1.0769230769,0.6153846154,O8,de-protonated,0,NA,C13 H14 O8,13,14,8,NA
94,122,297.0980129,297.0980129,297.0979763851,17744486,336122,136.8,-1,-0.1229053644,0.9195041566,0.8818468834000001,0.9335583385,6,1.2857142857,0.5,O7,de-protonated,0,NA,C14 H18 O7,14,18,7,NA
95,123,297.1343934,297.1343934,297.1343618944,8025709,314915,60.5,-1,-0.1060313274,0.9394514627,0,0.32880801200000004,5,1.4666666667,0.4,O6,de-protonated,0,NA,C15 H22 O6,15,22,6,NA
96,124,297.1530867,297.1530867,297.1554912625,5422704,291171,40.1,-1,8.0919337494,1.0346319659999998e-158,0.6831110036,0.2049333011,0,2.1666666667,0.6666666667000001,O8,de-protonated,0,NA,C12 H26 O8,12,26,8,NA
97,127,299.0409351,299.0409351,299.0408554308,4064668,335228,29.4,-1,-0.2664158568,0.6741390137000001,0.5,0.6218973096,7,1,0.75,O9,de-protonated,0,NA,C12 H12 O9,12,12,9,NA
98,128,299.0561888,299.0561888,299.0561115721,1574302,391138,9.8,-1,-0.2582389654,0.6903991632,0.5,0.6332794142,11,0.75,0.375,O6,de-protonated,0,NA,C16 H12 O6,16,12,6,NA
99,129,299.077267,299.077267,299.0772409402,10812321,318347,82.4,-1,-0.0871341509,0.9586974112,0,0.3355440939,6,1.2307692308,0.6153846154,O8,de-protonated,0,NA,C13 H16 O8,13,16,8,NA
100,130,299.1136403,299.1136403,299.1136264495,10916775,319028,83.2,-1,-0.0463050021,0.9881587042,0.9431809708,0.941606437,5,1.4285714286,0.5,O7,de-protonated,0,NA,C14 H20 O7,14,20,7,NA
101,131,299.1500187,299.1500187,299.1500119589,1903533,426962,12.4,-1,-0.0225340884,0.9971829468,0.5,0.8480280628,4,1.6,0.4,O6,de-protonated,0,NA,C15 H24 O6,15,24,6,NA
102,133,301.0354335,301.0354335,301.0353761272,2045135,367353,13.5,-1,-0.1905850662,0.8172644134,0.5,0.7220850894,11,0.6666666667000001,0.4666666667,O7,de-protonated,0,NA,C15 H10 O7,15,10,7,NA
103,134,301.0565428,301.0565428,301.0565054953,4429010,337922,32.2,-1,-0.1239127774,0.9182348518,0.5,0.7927643963000001,6,1.1666666667,0.75,O9,de-protonated,0,NA,C12 H14 O9,12,14,9,NA
104,135,301.0717706,301.0717706,301.0717616365,2550485,346994,17.5,-1,-0.0297718484,0.9950878655,0.5,0.8465615059,10,0.875,0.375,O6,de-protonated,0,NA,C16 H14 O6,16,14,6,NA
105,136,301.0929452,301.0929452,301.0928910046,6926552,341086,51.8,-1,-0.1799954932,0.8352777401,0,0.292347209,5,1.3846153846,0.6153846154,O8,de-protonated,0,NA,C13 H18 O8,13,18,8,NA
106,137,301.1294048,301.1294048,301.129276514,2110173,429703,14,-1,-0.4260162963,0.3648470197,0.5,0.4053929138,4,1.5714285714,0.5,O7,de-protonated,0,NA,C14 H22 O7,14,22,7,NA
107,138,303.0146731,303.0146731,303.0146406822,1426680,423837,8.7,-1,-0.106984116,0.9383927828,0.5,0.806874948,11,0.5714285714,0.5714285714,O8,de-protonated,0,NA,C14 H8 O8,14,8,8,NA
108,139,303.0500628,303.0500628,303.0510261916,1629693,460574,10.3,-1,3.1789749833,4.140591879999999e-25,0.5,0.15,10,0.8,0.4666666667,O7,de-protonated,0,NA,C15 H12 O7,15,12,7,NA
109,140,303.0511515,303.0511515,303.0510261916,3386365,368061,24.1,-1,-0.4134893409,0.386798104,0.5,0.4207586728,10,0.8,0.4666666667,O7,de-protonated,0,NA,C15 H12 O7,15,12,7,NA
110,141,303.0722381,303.0722381,303.0721555597,1690112,400808,10.7,-1,-0.2723452755,0.6622803098000001,0.5,0.6135962169,5,1.3333333333,0.75,O9,de-protonated,0,NA,C12 H16 O9,12,16,9,NA
111,142,303.0875175,303.0875175,303.087411701,3054083,310176,21.5,-1,-0.3490708644,0.5081660338,0.5,0.5057162236,9,1,0.375,O6,de-protonated,0,NA,C16 H16 O6,16,16,6,NA
112,143,303.1238046,303.1238046,303.1237972104,3160072,349113,22.3,-1,-0.0243781605,0.9967038071,0.5,0.8476926650000001,8,1.1764705882,0.2941176471,O5,de-protonated,0,NA,C17 H20 O5,17,20,5,NA
113,144,305.0303533,305.0303533,305.0302907467,3544352,307451,25.1,-1,-0.2050723398,0.7916491124,0.5,0.7041543787,10,0.7142857143,0.5714285714,O8,de-protonated,0,NA,C14 H10 O8,14,10,8,NA
114,145,305.0667542,305.0667542,305.0666762561,5514021,344897,40.4,-1,-0.2554978867,0.6958215424,0,0.2435375398,9,0.9333333333,0.4666666667,O7,de-protonated,0,NA,C15 H14 O7,15,14,7,NA
115,146,305.1031179,305.1031179,305.1030617655,6008618,323730,44.2,-1,-0.1839853932,0.8285657978000001,0,0.2899980292,8,1.125,0.375,O6,de-protonated,0,NA,C16 H18 O6,16,18,6,NA
116,147,305.1394247,305.1394247,305.1394472749,3648816,293754,25.9,-1,0.0739821667,0.9700500983,0.5,0.8290350688,7,1.2941176471,0.2941176471,O5,de-protonated,0,NA,C17 H22 O5,17,22,5,NA
117,148,307.0095764,307.0095764,307.0095553018,1982014,319038,12.9,-1,-0.06872158,0.9741042236,0.5,0.8318729565,10,0.6153846154,0.6923076923,O9,de-protonated,0,NA,C13 H8 O9,13,8,9,NA
118,149,307.0460437,307.0460437,307.0459408112,4836419,245645,35.1,-1,-0.3350925179,0.5358952094,0,0.1875633233,9,0.8571428571,0.5714285714,O8,de-protonated,0,NA,C14 H12 O8,14,12,8,NA
119,150,307.0823753,307.0823753,307.0823263206,8728648,323363,65.4,-1,-0.1594992903,0.8681997496,0.9317704695,0.6278723135000001,8,1.0666666667,0.4666666667,O7,de-protonated,0,NA,C15 H16 O7,15,16,7,NA
120,151,307.1176166,307.1176166,307.11871183,2227277,458794,14.8,-1,3.5661453665,2.0708430600000003e-31,0.5,0.15,7,1.25,0.375,O6,de-protonated,0,NA,C16 H20 O6,16,20,6,NA
121,152,307.1187577,307.1187577,307.11871183,9148493,321606,68.7,-1,-0.1493560212,0.8834425579,0.8438037884,0.7903831276000001,7,1.25,0.375,O6,de-protonated,0,NA,C16 H20 O6,16,20,6,NA
122,153,307.1550845,307.1550845,307.1550973394,2810451,379251,19.4,-1,0.0418008866,0.9903396631,0.5,0.8432377641000001,6,1.4117647059,0.2941176471,O5,de-protonated,0,NA,C17 H24 O5,17,24,5,NA
123,157,309.0252625,309.0252625,309.0252053663,3760479,355847,26.8,-1,-0.1848836364,0.8270420223,0.5,0.7289294156,9,0.7692307692,0.6923076923,O9,de-protonated,0,NA,C13 H10 O9,13,10,9,NA
124,158,309.0616571,309.0616571,309.0615908757,6597988,322343,48.8,-1,-0.2142754759,0.7748563169,0.7733824325,0.6716780399000001,8,1,0.5714285714,O8,de-protonated,0,NA,C14 H14 O8,14,14,8,NA
