...1,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,Mass Error (ppm),Mass Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C,18O
0,13,157.1229514,157.1229514,157.1234032872,2005746,604675,15.1,-1,2.8760019,1.1046761929999999e-20,0.5,0.15,1,2,0.2222222222,O2,de-protonated,0,NA,C9 H18 O2,9,18,2,NA,NA
1,14,195.0298665,195.0298665,195.0298968235,1564760,435670,10.8,-1,0.1554814519,0.8743253863,0.5,0.7620277704,6,0.8888888889000001,0.5555555556,O5,de-protonated,0,NA,C9 H8 O5,9,8,5,NA,NA
2,15,197.0092442,197.0092442,197.0091613786,1901516,459301,13.6,-1,-0.4203935198,0.3746221782,0.5,0.4122355247,6,0.75,0.75,O6,de-protonated,0,NA,C8 H6 O6,8,6,6,NA,NA
3,16,199.0612779,199.0612779,199.0611969525,1520549,751273,10.4,-1,-0.4066463668,0.3990479439,0.5,0.4293335607,4,1.3333333333,0.5555555556,O5,de-protonated,0,NA,C9 H12 O5,9,12,5,NA,NA
4,18,209.0093057,209.0093057,209.0091613786,1702710,476899,11.8,-1,-0.6905026259,0.0707321643,0.5,0.199512515,7,0.6666666667000001,0.6666666667000001,O6,de-protonated,0,NA,C9 H6 O6,9,6,6,NA,NA
5,19,211.0249307,211.0249307,211.0248114431,1556617,602262,10.6,-1,-0.5651321093,0.16960184590000002,0.5,0.2687212921,6,0.8888888889000001,0.6666666667000001,O6,de-protonated,0,NA,C9 H8 O6,9,8,6,NA,NA
6,20,211.0613914,211.0613914,211.0611969525,1787274,535565,12.6,-1,-0.9212849889,0.0089565799,0.5,0.1562696059,5,1.2,0.5,O5,de-protonated,0,NA,C10 H12 O5,10,12,5,NA,NA
7,21,213.0400659,213.0400659,213.0404615076,1326036,623946,8.6,-1,1.8569598396,4.8e-9,0.5,0.1500000034,5,1.1111111111,0.6666666667000001,O6,de-protonated,0,NA,C9 H10 O6,9,10,6,NA,NA
8,22,213.0770945,213.0770945,213.076847017,1349462,558697,8.8,-1,-1.1614731396,5.561043e-4,0.5,0.15038927300000002,4,1.4,0.5,O5,de-protonated,0,NA,C10 H14 O5,10,14,5,NA,NA
9,23,221.0088879,221.0088879,221.0091613786,1665802,407580,11.4,-1,1.2374085467,2.02139e-4,0.5,0.1501414973,8,0.6000000000000001,0.6000000000000001,O6,de-protonated,0,NA,C10 H6 O6,10,6,6,NA,NA
10,24,221.0452586,221.0452586,221.045546888,1584267,370490,10.8,-1,1.3042018424,7.87147e-5,0.5,0.1500551003,7,0.9090909091,0.4545454545,O5,de-protonated,0,NA,C11 H10 O5,11,10,5,NA,NA
11,26,223.024398,223.024398,223.0248114431,1537263,406510,10.4,-1,1.8537986898,5.1e-9,0.5,0.1500000036,7,0.8,0.6000000000000001,O6,de-protonated,0,NA,C10 H8 O6,10,8,6,NA,NA
12,27,223.0250296,223.0250296,223.0248114431,1710191,608599,11.8,-1,-0.9781732148,0.0049139242,0.5,0.1534397469,7,0.8,0.6000000000000001,O6,de-protonated,0,NA,C10 H8 O6,10,8,6,NA,NA
13,28,225.0037159,225.0037159,225.0040759982,1818852,447599,12.7,-1,1.6004074384,6.61e-7,0.5,0.1500004627,7,0.6666666667000001,0.7777777778,O7,de-protonated,0,NA,C9 H6 O7,9,6,7,NA,NA
14,29,225.0043011,225.0043011,225.0040759982,1517796,384701,10.2,-1,-1.0004343348,0.0038473043,0.5,0.15269311300000002,7,0.6666666667000001,0.7777777778,O7,de-protonated,0,NA,C9 H6 O7,9,6,7,NA,NA
15,30,225.0399152,225.0399152,225.0404615076,1483878,455289,9.9,-1,2.4275971423,0,0.5,0.15,6,1,0.6000000000000001,O6,de-protonated,0,NA,C10 H10 O6,10,10,6,NA,NA
16,31,225.0770219,225.0770219,225.076847017,1936616,541981,13.7,-1,-0.7769925553,0.0349447957,0.5,0.174461357,5,1.2727272727,0.4545454545,O5,de-protonated,0,NA,C11 H14 O5,11,14,5,NA,NA
17,32,227.0921678,227.0921678,227.0924970814,1501302,538503,10,-1,1.4499882105,8.4583e-6,0.5,0.1500059208,4,1.4545454545,0.4545454545,O5,de-protonated,0,NA,C11 H16 O5,11,16,5,NA,NA
18,33,227.0926626,227.0926626,227.0924970814,1500278,543016,10,-1,-0.7288596437,0.0522710173,0.5,0.1865897121,4,1.4545454545,0.4545454545,O5,de-protonated,0,NA,C11 H16 O5,11,16,5,NA,NA
19,34,227.2011761,227.2011761,227.2016536096,1455230,441167,9.7,-1,2.1016994763,0,0.5,0.15,1,2,0.1428571429,O2,de-protonated,0,NA,C14 H28 O2,14,28,2,NA,NA
20,35,229.0502772,229.0502772,229.0506322684,1304984,522942,8.4,-1,1.5501744497,1.5925e-6,0.5,0.1500011147,9,0.7692307692,0.3076923077,O4,de-protonated,0,NA,C13 H10 O4,13,10,4,NA,NA
21,36,231.0507981,231.0507981,231.0510261916,1413340,485472,9.3,-1,0.9871915943,0.0044531153,0.5,0.1531171807,4,1.3333333333,0.7777777778,O7,de-protonated,0,NA,C9 H12 O7,9,12,7,NA,NA
22,37,235.0244404,235.0244404,235.0248114431,1361861,636972,8.8,-1,1.5787401379,9.692e-7,0.5,0.1500006784,8,0.7272727273,0.5454545455,O6,de-protonated,0,NA,C11 H8 O6,11,8,6,NA,NA
23,38,235.0251034,235.0251034,235.0248114431,1434053,547831,9.4,-1,-1.2422386172,1.891267e-4,0.5,0.1501323887,8,0.7272727273,0.5454545455,O6,de-protonated,0,NA,C11 H8 O6,11,8,6,NA,NA
24,39,237.0398583,237.0398583,237.0404615076,1381103,572992,8.9,-1,2.5447452193,2.375228246e-16,0.5,0.15,7,0.9090909091,0.5454545455,O6,de-protonated,0,NA,C11 H10 O6,11,10,6,NA,NA
25,40,237.076244,237.076244,237.076847017,1371509,358332,8.9,-1,2.5435506381,2.456806486e-16,0.5,0.15,6,1.1666666667,0.4166666667,O5,de-protonated,0,NA,C12 H14 O5,12,14,5,NA,NA
26,41,239.0193606,239.0193606,239.0197260627,1967923,424163,13.7,-1,1.5290063331,2.2874e-6,0.5,0.1500016012,7,0.8,0.7000000000000001,O7,de-protonated,0,NA,C10 H8 O7,10,8,7,NA,NA
27,42,239.020115,239.020115,239.0197260627,1305651,576747,8.3,-1,-1.6272185208,4.087e-7,0.5,0.15000028610000002,7,0.8,0.7000000000000001,O7,de-protonated,0,NA,C10 H8 O7,10,8,7,NA,NA
28,43,239.0558223,239.0558223,239.0561115721,1526585,414879,10.1,-1,1.2100592505,2.931912e-4,0.5,0.1502052339,6,1.0909090909,0.5454545455,O6,de-protonated,0,NA,C11 H12 O6,11,12,6,NA,NA
29,45,239.0921422,239.0921422,239.0924970814,2265920,477508,16.2,-1,1.4842851526,4.8358e-6,0.5,0.1500033851,5,1.3333333333,0.4166666667,O5,de-protonated,0,NA,C12 H16 O5,12,16,5,NA,NA
30,46,241.0713904,241.0713904,241.0717616365,2312097,450140,16.6,-1,1.5399420267,1.8983e-6,0.5,0.1500013288,5,1.2727272727,0.5454545455,O6,de-protonated,0,NA,C11 H14 O6,11,14,6,NA,NA
31,47,241.0721347,241.0721347,241.0717616365,1475745,611159,9.7,-1,-1.5475203743,1.6669e-6,0.5,0.1500011668,5,1.2727272727,0.5454545455,O6,de-protonated,0,NA,C11 H14 O6,11,14,6,NA,NA
32,48,241.1078948,241.1078948,241.1081471459,1684136,544582,11.4,-1,1.0466088537,0.0022756251,0.5,0.1515929375,4,1.5,0.4166666667,O5,de-protonated,0,NA,C12 H18 O5,12,18,5,NA,NA
