...1,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,Mass Error (ppm),Mass Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C,18O
33,49,243.0507716,243.0507716,243.0510261916,1509661,530810,9.9,-1,1.04748223,0.0022526201,0.5,0.1515768341,5,1.2,0.7000000000000001,O7,de-protonated,0,NA,C10 H12 O7,10,12,7,NA,NA
34,50,243.0870057,243.0870057,243.087411701,1612580,487994,10.8,-1,1.6701852736,1.8600000000000002e-7,0.5,0.1500001302,4,1.4545454545,0.5454545455,O6,de-protonated,0,NA,C11 H16 O6,11,16,6,NA,NA
35,51,245.0662519,245.0662519,245.0666762561,1667002,521599,11.2,-1,1.7315945007,5.83e-8,0.5,0.1500000408,4,1.4,0.7000000000000001,O7,de-protonated,0,NA,C10 H14 O7,10,14,7,NA,NA
36,52,247.0970584,247.0970584,247.0975824619,1383539,369202,8.9,-1,2.1208700893,0,0.5,0.15,7,1.1428571429,0.2857142857,O4,de-protonated,0,NA,C14 H16 O4,14,16,4,NA,NA
37,53,249.0402964,249.0402964,249.0404615076,1311533,461564,8.3,-1,0.6629749247000001,0.0869984234,0.5,0.2108988964,8,0.8333333333,0.5,O6,de-protonated,0,NA,C12 H10 O6,12,10,6,NA,NA
38,54,251.0196065,251.0196065,251.0197260627,1376260,504628,8.7,-1,0.47630788549999997,0.2835449954,0.5,0.3484814968,8,0.7272727273,0.6363636364,O7,de-protonated,0,NA,C11 H8 O7,11,8,7,NA,NA
39,55,251.0562563,251.0562563,251.0561115721,1556749,402886,10.2,-1,-0.5764764692000001,0.1578278078,0.5,0.2604794655,7,1,0.5,O6,de-protonated,0,NA,C12 H12 O6,12,12,6,NA,NA
40,56,251.0923659,251.0923659,251.0924970814,1917718,463533,13.2,-1,0.5224427054,0.2195075215,0.5,0.3036552651,6,1.2307692308,0.3846153846,O5,de-protonated,0,NA,C13 H16 O5,13,16,5,NA,NA
41,57,253.07165,253.07165,253.0717616365,2121983,330656,14.8,-1,0.441126013,0.3392331832,0.5,0.3874632283,6,1.1666666667,0.5,O6,de-protonated,0,NA,C12 H14 O6,12,14,6,NA,NA
42,58,253.1080425,253.1080425,253.1081471459,2332424,236793,16.5,-1,0.4134435131,0.3868795478,0.5,0.4208156834,5,1.3846153846,0.3846153846,O5,de-protonated,0,NA,C13 H18 O5,13,18,5,NA,NA
43,59,255.0504887,255.0504887,255.0510261916,2554617,500348,18.3,-1,2.1073886232,0,0.5,0.15,6,1.0909090909,0.6363636364,O7,de-protonated,0,NA,C11 H12 O7,11,12,7,NA,NA
44,60,255.0511237,255.0511237,255.0510261916,1729273,460389,11.5,-1,-0.3823092598,0.4439683263,0.5,0.4607778284,6,1.0909090909,0.6363636364,O7,de-protonated,0,NA,C11 H12 O7,11,12,7,NA,NA
45,61,255.0869091,255.0869091,255.087411701,2933506,384640,21.3,-1,1.9703089692,4e-10,0.5,0.15000000030000002,5,1.3333333333,0.5,O6,de-protonated,0,NA,C12 H16 O6,12,16,6,NA,NA
46,62,255.0875451,255.0875451,255.087411701,3505923,351655,26,-1,-0.5229540098000001,0.2188566537,0.5,0.3031996576,5,1.3333333333,0.5,O6,de-protonated,0,NA,C12 H16 O6,12,16,6,NA,NA
47,63,255.123464,255.123464,255.1237972104,1523980,428587,9.9,-1,1.3060733774,7.66071e-5,0.5,0.150053625,4,1.5384615385,0.3846153846,O5,de-protonated,0,NA,C13 H20 O5,13,20,5,NA,NA
48,64,255.1597251,255.1597251,255.1601827198,3272085,255027,24.1,-1,1.7934607937,1.74e-8,0.5,0.1500000121,3,1.7142857143,0.2857142857,O4,de-protonated,0,NA,C14 H24 O4,14,24,4,NA,NA
49,67,255.232936,255.232936,255.2329537386,19593000,272903,156.8,-1,0.0694994599,0.9735225358,0.8685384132,0.8425113979000001,1,2,0.125,O2,de-protonated,0,NA,C16 H32 O2,16,32,2,NA,NA
50,69,257.0668494,257.0668494,257.0666762561,2383627,244894,16.9,-1,-0.6735368955000001,0.0804363887,0.5,0.2063054721,5,1.2727272727,0.6363636364,O7,de-protonated,0,NA,C11 H14 O7,11,14,7,NA,NA
51,70,257.1030405,257.1030405,257.1030617655,2032405,303606,14,-1,0.08271194080000001,0.9627061744,0.5,0.8238943221,4,1.5,0.5,O6,de-protonated,0,NA,C12 H18 O6,12,18,6,NA,NA
52,71,259.0459345,259.0459345,259.0459408112,1492001,383548,9.6,-1,0.0243632558,0.9967078298,0.5,0.8476954809,5,1.2,0.8,O8,de-protonated,0,NA,C10 H12 O8,10,12,8,NA,NA
53,72,259.0825787,259.0825787,259.0823263206,1400363,457027,8.9,-1,-0.9741282498,0.0051343077,0.5,0.1535940154,4,1.4545454545,0.6363636364,O7,de-protonated,0,NA,C11 H16 O7,11,16,7,NA,NA
54,73,261.0401881,261.0401881,261.0404615076,1791557,470903,12,-1,1.0473762558,0.0022554001,0.5,0.1515787801,9,0.7692307692,0.4615384615,O6,de-protonated,0,NA,C13 H10 O6,13,10,6,NA,NA
55,74,261.0764878,261.0764878,261.076847017,1316943,414398,8.1,-1,1.3759051007,2.7064e-5,0.5,0.1500189448,8,1,0.3571428571,O5,de-protonated,0,NA,C14 H14 O5,14,14,5,NA,NA
56,75,261.0771132,261.0771132,261.076847017,1317968,557383,8.1,-1,-1.0195581782,0.003104217,0.5,0.1521729519,8,1,0.3571428571,O5,de-protonated,0,NA,C14 H14 O5,14,14,5,NA,NA
57,76,261.1131532,261.1131532,261.1132325263,1591386,363957,10.4,-1,0.30380057380000003,0.5988471877,0.5,0.5691930314,7,1.2,0.2666666667,O4,de-protonated,0,NA,C15 H18 O4,15,18,4,NA,NA
58,77,263.0196537,263.0196537,263.0197260627,1852783,319708,12.5,-1,0.2751226154,0.6567094272,0.5,0.6096965990000001,9,0.6666666667000001,0.5833333333,O7,de-protonated,0,NA,C12 H8 O7,12,8,7,NA,NA
59,78,263.0555136,263.0555136,263.0561115721,1413754,422018,8.9,-1,2.2731730338,0,0.5,0.15,8,0.9230769231,0.4615384615,O6,de-protonated,0,NA,C13 H12 O6,13,12,6,NA,NA
60,79,263.0561848,263.0561848,263.0561115721,2665338,513096,19,-1,-0.2783738435,0.6501767089,0.5,0.6051236962000001,8,0.9230769231,0.4615384615,O6,de-protonated,0,NA,C13 H12 O6,13,12,6,NA,NA
61,80,263.0916446,263.0916446,263.0924970814,1811588,429846,12.1,-1,3.2402347195,4.6588200650000005e-26,0.5,0.15,7,1.1428571429,0.3571428571,O5,de-protonated,0,NA,C14 H16 O5,14,16,5,NA,NA
62,81,263.0925505,263.0925505,263.0924970814,2759300,298352,19.8,-1,-0.2030409728,0.7953036284,0.5,0.7067125399,7,1.1428571429,0.3571428571,O5,de-protonated,0,NA,C14 H16 O5,14,16,5,NA,NA
63,82,263.1290763,263.1290763,263.1288825908,1423502,392083,9,-1,-0.7361760150000001,0.0492492172,0.5,0.184474452,6,1.3333333333,0.2666666667,O4,de-protonated,0,NA,C15 H20 O4,15,20,4,NA,NA
64,83,264.9989532,264.9989532,264.9989906178,1393185,335947,8.7,-1,0.1411996647,0.8951508481,0.5,0.7766055937,9,0.5454545455,0.7272727273,O8,de-protonated,0,NA,C11 H6 O8,11,6,8,NA,NA
65,84,265.034818,265.034818,265.0353761272,1707435,424424,11.3,-1,2.1058590783,0,0.5,0.15,8,0.8333333333,0.5833333333,O7,de-protonated,0,NA,C12 H10 O7,12,10,7,NA,NA
66,85,265.0354482,265.0354482,265.0353761272,2031532,437895,13.9,-1,-0.2719367056,0.6630990159,0.5,0.6141693111000001,8,0.8333333333,0.5833333333,O7,de-protonated,0,NA,C12 H10 O7,12,10,7,NA,NA
67,86,265.0708192,265.0708192,265.0717616365,1717174,544780,11.4,-1,3.5554014936,3.1677703810000004e-31,0.5,0.15,7,1.0769230769,0.4615384615,O6,de-protonated,0,NA,C13 H14 O6,13,14,6,NA,NA
68,87,265.0718005,265.0718005,265.0717616365,3129526,318266,22.8,-1,-0.1466148735,0.8874334165000001,0.5,0.7712033916000001,7,1.0769230769,0.4615384615,O6,de-protonated,0,NA,C13 H14 O6,13,14,6,NA,NA
69,88,265.1082025,265.1082025,265.1081471459,4392385,369511,33,-1,-0.2087981042,0.7848963549,0.5,0.6994274485,6,1.2857142857,0.3571428571,O5,de-protonated,0,NA,C14 H18 O5,14,18,5,NA,NA
70,90,267.0147006,267.0147006,267.0146406822,2344675,376108,16.4,-1,-0.2243987569,0.7559735421,0.5,0.6791814795000001,8,0.7272727273,0.7272727273,O8,de-protonated,0,NA,C11 H8 O8,11,8,8,NA,NA
71,91,267.0510943,267.0510943,267.0510261916,3353070,345876,24.6,-1,-0.2550387843,0.6967282027,0.5,0.6377097419000001,7,1,0.5833333333,O7,de-protonated,0,NA,C12 H12 O7,12,12,7,NA,NA
72,92,267.0875065,267.0875065,267.087411701,6527992,354613,50.2,-1,-0.354936177,0.496641339,0,0.1738244687,6,1.2307692308,0.4615384615,O6,de-protonated,0,NA,C13 H16 O6,13,16,6,NA,NA
73,93,267.1239089,267.1239089,267.1237972104,4025347,362076,30,-1,-0.4181192455,0.3786122075,0.5,0.4150285452,5,1.4285714286,0.3571428571,O5,de-protonated,0,NA,C14 H20 O5,14,20,5,NA,NA
74,94,269.030403,269.030403,269.0302907467,2261034,339496,15.6,-1,-0.417251437,0.3801401256,0.5,0.4160980879,7,0.9090909091,0.7272727273,O8,de-protonated,0,NA,C11 H10 O8,11,10,8,NA,NA
75,95,269.0667663,269.0667663,269.0666762561,5344308,318637,40.4,-1,-0.33465270540000003,0.5367728970000001,0.5,0.5257410279,6,1.1666666667,0.5833333333,O7,de-protonated,0,NA,C12 H14 O7,12,14,7,NA,NA
76,96,269.1031062,269.1031062,269.1030617655,7679551,350576,59.2,-1,-0.1651207777,0.8594423702,0.8098945394,0.7914205780000001,5,1.3846153846,0.4615384615,O6,de-protonated,0,NA,C13 H18 O6,13,18,6,NA,NA
77,97,269.1396297,269.1396297,269.1394472749,1489481,343141,9.5,-1,-0.6778089366000001,0.0778975437,0.5,0.2045282806,4,1.5714285714,0.3571428571,O5,de-protonated,0,NA,C14 H22 O5,14,22,5,NA,NA
78,98,269.2486257,269.2486257,269.248603803,1705065,437595,11.2,-1,-0.0813262141,0.9639226908,0.5,0.8247458835,1,2,0.1176470588,O2,de-protonated,0,NA,C17 H34 O2,17,34,2,NA,NA
79,101,271.0459886,271.0459886,271.0459408112,2842738,301709,20.3,-1,-0.17631253700000002,0.8413894765000001,0.5,0.7389726335,6,1.0909090909,0.7272727273,O8,de-protonated,0,NA,C11 H12 O8,11,12,8,NA,NA
80,102,271.0824048,271.0824048,271.0823263206,5795965,341225,44,-1,-0.2895039827,0.6277424481,0.6694058483,0.573445333,5,1.3333333333,0.5833333333,O7,de-protonated,0,NA,C12 H16 O7,12,16,7,NA,NA
81,103,271.118723,271.118723,271.11871183,2647176,372749,18.7,-1,-0.0411997709,0.9906142068,0.5,0.8434299447,4,1.5384615385,0.4615384615,O6,de-protonated,0,NA,C13 H20 O6,13,20,6,NA,NA
82,105,273.0406297,273.0406297,273.0404615076,1494710,430648,9.5,-1,-0.6159981485,0.1214714265,0.5,0.2350299986,10,0.7142857143,0.4285714286,O6,de-protonated,0,NA,C14 H10 O6,14,10,6,NA,NA
83,106,273.0616438,273.0616438,273.0615908757,2110652,328876,14.4,-1,-0.1938182491,0.8116408835000001,0.5,0.7181486185,5,1.2727272727,0.7272727273,O8,de-protonated,0,NA,C11 H14 O8,11,14,8,NA,NA
84,107,273.0981024,273.0981024,273.0979763851,2068422,372892,14.1,-1,-0.461427568,0.3064001548,0.5,0.3644801083,4,1.5,0.5833333333,O7,de-protonated,0,NA,C12 H18 O7,12,18,7,NA,NA
85,108,275.019832,275.019832,275.0197260627,1806067,493691,11.9,-1,-0.3851990059,0.4385314511,0.5,0.4569720158,10,0.6153846154,0.5384615385,O7,de-protonated,0,NA,C13 H8 O7,13,8,7,NA,NA
86,109,275.0562335,275.0562335,275.0561115721,2179838,370184,14.9,-1,-0.4432838817,0.3356554811,0.5,0.3849588368,9,0.8571428571,0.4285714286,O6,de-protonated,0,NA,C14 H12 O6,14,12,6,NA,NA
87,110,275.0926123,275.0926123,275.0924970814,2496520,345829,17.4,-1,-0.4188356927,0.3773530351,0.5,0.4141471246,8,1.0666666667,0.33333333330000003,O5,de-protonated,0,NA,C15 H16 O5,15,16,5,NA,NA
88,111,277.0347427,277.0347427,277.0353761272,1656120,495135,10.7,-1,2.2864486182,0,0.5,0.15,9,0.7692307692,0.5384615385,O7,de-protonated,0,NA,C13 H10 O7,13,10,7,NA,NA
89,112,277.0355233,277.0355233,277.0353761272,2438457,503994,16.9,-1,-0.5312420716,0.2084870088,0.5,0.2959409061,9,0.7692307692,0.5384615385,O7,de-protonated,0,NA,C13 H10 O7,13,10,7,NA,NA
90,113,277.0709567,277.0709567,277.0717616365,2021699,515766,13.6,-1,2.9051554459,4.330994302999999e-21,0.5,0.15,8,1,0.4285714286,O6,de-protonated,0,NA,C14 H14 O6,14,14,6,NA,NA
91,114,277.0718644,277.0718644,277.0717616365,3816259,378932,27.9,-1,-0.3708911445,0.4656953744,0.5,0.4759867621,8,1,0.4285714286,O6,de-protonated,0,NA,C14 H14 O6,14,14,6,NA,NA
92,115,277.1083067,277.1083067,277.1081471459,3392334,305629,24.6,-1,-0.5757827048,0.1585302942,0.5,0.260971206,7,1.2,0.33333333330000003,O5,de-protonated,0,NA,C15 H18 O5,15,18,5,NA,NA
93,116,279.0148233,279.0148233,279.0146406822,2488175,354332,17.3,-1,-0.6545095733,0.0925594312,0.5,0.2147916018,9,0.6666666667000001,0.6666666667000001,O8,de-protonated,0,NA,C12 H8 O8,12,8,8,NA,NA
94,117,279.0512118,279.0512118,279.0510261916,4244857,373237,31.4,-1,-0.6651413243000001,0.08561884260000001,0.5,0.2099331898,8,0.9230769231,0.5384615385,O7,de-protonated,0,NA,C13 H12 O7,13,12,7,NA,NA
95,118,279.0875498,279.0875498,279.087411701,6309252,354374,47.8,-1,-0.4948234104,0.2565891965,0,0.0898062188,7,1.1428571429,0.4285714286,O6,de-protonated,0,NA,C14 H16 O6,14,16,6,NA,NA
96,119,279.1238965,279.1238965,279.1237972104,6509966,353325,49.4,-1,-0.3557188657,0.4951090262,0,0.1732881592,6,1.3333333333,0.33333333330000003,O5,de-protonated,0,NA,C15 H20 O5,15,20,5,NA,NA
97,120,279.1626472,279.1626472,279.1601827198,1797017,427600,11.8,-1,-8.8281938784,9.072151902999999e-189,0.5,0.15,5,1.5,0.25,O4,de-protonated,0,NA,C16 H24 O4,16,24,4,NA,NA
98,122,281.0304227,281.0304227,281.0302907467,3102121,399331,22.1,-1,-0.469533996,0.2938194394,0.5,0.3556736076,8,0.8333333333,0.6666666667000001,O8,de-protonated,0,NA,C12 H10 O8,12,10,8,NA,NA
99,123,281.066753,281.066753,281.0666762561,6986675,320102,52.9,-1,-0.273045144,0.6608773899,0.7952785973000001,0.8152614576,7,1.0769230769,0.5384615385,O7,de-protonated,0,NA,C13 H14 O7,13,14,7,NA,NA
100,124,281.1031408,281.1031408,281.1030617655,12491709,348484,96.5,-1,-0.2811584702,0.644573036,0.9070771418,0.6943165693000001,6,1.2857142857,0.4285714286,O6,de-protonated,0,NA,C14 H18 O6,14,18,6,NA,NA
101,125,281.1394917,281.1394917,281.1394472749,5181383,386188,38.5,-1,-0.1580181045,0.8704711396,0,0.30466489890000004,5,1.4666666667,0.33333333330000003,O5,de-protonated,0,NA,C15 H22 O5,15,22,5,NA,NA
102,126,281.2487105,281.2487105,281.248603803,6763494,329121,51.1,-1,-0.3793688864,0.4495268323,0.9060492452,0.5428811864,2,1.8888888889,0.1111111111,O2,de-protonated,0,NA,C18 H34 O2,18,34,2,NA,NA
103,131,283.0095395,283.0095395,283.0095553018,1525712,279049,9.6,-1,0.0558349285,0.9828294608,0.5,0.8379806225,8,0.7272727273,0.8181818182,O9,de-protonated,0,NA,C11 H8 O9,11,8,9,NA,NA
104,132,283.0460308,283.0460308,283.0459408112,4037082,335750,29.5,-1,-0.3179300053,0.5703228285,0.5,0.5492259799,7,1,0.6666666667000001,O8,de-protonated,0,NA,C12 H12 O8,12,12,8,NA,NA
105,133,283.0824336,283.0824336,283.0823263206,11746788,311695,90.6,-1,-0.378968954,0.4502848832,0,0.1575997091,6,1.2307692308,0.5384615385,O7,de-protonated,0,NA,C13 H16 O7,13,16,7,NA,NA
106,134,283.1188318,283.1188318,283.11871183,9260526,338221,70.9,-1,-0.4237446125,0.3687808333,0.8143051851,0.477091434,5,1.4285714286,0.4285714286,O6,de-protonated,0,NA,C14 H20 O6,14,20,6,NA,NA
107,135,283.2643272,283.2643272,283.2642538675,51058200,341409,402.1,-1,-0.2588836769,0.6891215934,0.8694055041000001,0.5554856893,1,2,0.1111111111,O2,de-protonated,0,NA,C18 H36 O2,18,36,2,NA,NA
108,138,285.0252131,285.0252131,285.0252053663,1481464,403333,9.2,-1,-0.0271334029,0.9959182334,0.5,0.8471427634,7,0.9090909091,0.8181818182,O9,de-protonated,0,NA,C11 H10 O9,11,10,9,NA,NA
109,139,285.0402759,285.0402759,285.0404615076,1689852,407591,10.9,-1,0.6511622253,0.0948343517,0.5,0.2163840462,11,0.6666666667000001,0.4,O6,de-protonated,0,NA,C15 H10 O6,15,10,6,NA,NA
110,140,285.0616885,285.0616885,285.0615908757,6219778,315730,46.8,-1,-0.3424674616,0.5212228632,0.70699086,0.5384966858,6,1.1666666667,0.6666666667000001,O8,de-protonated,0,NA,C12 H14 O8,12,14,8,NA,NA
111,141,285.0769644,285.0769644,285.076847017,1472006,413547,9.1,-1,-0.4117592704,0.3898783399,0.5,0.4229148379,10,0.875,0.3125,O5,de-protonated,0,NA,C16 H14 O5,16,14,5,NA,NA
112,142,285.0980876,285.0980876,285.0979763851,11216907,355804,86.4,-1,-0.3900937374,0.4293828884,0.9942964113,0.5509498656,5,1.3846153846,0.5384615385,O7,de-protonated,0,NA,C13 H18 O7,13,18,7,NA,NA
113,143,285.1344167,285.1344167,285.1343618944,2978325,363869,21.1,-1,-0.192209562,0.8144458713,0.5,0.7201121099000001,4,1.5714285714,0.4285714286,O6,de-protonated,0,NA,C14 H22 O6,14,22,6,NA,NA
114,146,287.0410578,287.0410578,287.0408554308,2545683,355135,17.7,-1,-0.7050188916,0.0632033491,0.5,0.1942423444,6,1.0909090909,0.8181818182,O9,de-protonated,0,NA,C11 H12 O9,11,12,9,NA,NA
115,147,287.0561354,287.0561354,287.0561115721,2104087,318700,14.2,-1,-0.0830079549,0.9624438437,0.5,0.8237106906,10,0.8,0.4,O6,de-protonated,0,NA,C15 H12 O6,15,12,6,NA,NA
116,148,287.0773556,287.0773556,287.0772409402,5171741,356325,38.5,-1,-0.3994041502,0.4122016366,0.5,0.4385411456,5,1.3333333333,0.6666666667000001,O8,de-protonated,0,NA,C12 H16 O8,12,16,8,NA,NA
117,149,287.0926277,287.0926277,287.0924970814,2220577,360479,15.1,-1,-0.4549702895,0.3166403503,0.5,0.3716482452,9,1,0.3125,O5,de-protonated,0,NA,C16 H16 O5,16,16,5,NA,NA
118,150,287.113748,287.113748,287.1136264495,2881062,317896,20.3,-1,-0.4233531463,0.3694608566,0.5,0.4086225996,4,1.5384615385,0.5384615385,O7,de-protonated,0,NA,C13 H20 O7,13,20,7,NA,NA
119,151,289.0354787,289.0354787,289.0353761272,2303006,340296,15.6,-1,-0.3548799059,0.4967515563,0.5,0.4977260894,10,0.7142857143,0.5,O7,de-protonated,0,NA,C14 H10 O7,14,10,7,NA,NA
120,152,289.0718603,289.0718603,289.0717616365,3890215,313549,28.1,-1,-0.3413113141,0.5235170769,0.5,0.5164619538,9,0.9333333333,0.4,O6,de-protonated,0,NA,C15 H14 O6,15,14,6,NA,NA
